town_id	assess_townID	town_name	fiscal year	name of zip	url
M114	114	GREENFIELD	2013	L3_SHP_M114_GREENFIELD.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M114_GREENFIELD.zip
M115	115	GROTON	2012	L3_SHP_M115_GROTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M115_GROTON.zip
M116	116	GROVELAND	2013	L3_SHP_M116_GROVELAND.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M116_GROVELAND.zip
M117	117	HADLEY	2012	L3_SHP_M117_HADLEY.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M117_HADLEY.zip
M118	118	HALIFAX	2011	L3_SHP_M118_HALIFAX.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M118_HALIFAX.zip
M119	119	HAMILTON	2012	L3_SHP_M119_HAMILTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M119_HAMILTON.zip
M120	120	HAMPDEN	2011	L3_SHP_M120_HAMPDEN.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M120_HAMPDEN.zip
M121	121	HANCOCK	2012	L3_SHP_M121_HANCOCK.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M121_HANCOCK.zip
M122	122	HANOVER	2013	L3_SHP_M122_HANOVER.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M122_HANOVER.zip
M123	123	HANSON	2013	L3_SHP_M123_HANSON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M123_HANSON.zip
M124	124	HARDWICK	2012	L3_SHP_M124_HARDWICK.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M124_HARDWICK.zip
M125	125	HARVARD	2012	L3_SHP_M125_HARVARD.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M125_HARVARD.zip
M126	126	HARWICH	2012	L3_SHP_M126_HARWICH.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M126_HARWICH.zip
M127	127	HATFIELD	2012	L3_SHP_M127_HATFIELD.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M127_HATFIELD.zip
M128	128	HAVERHILL	2011	L3_SHP_M128_HAVERHILL.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M128_HAVERHILL.zip
M129	129	HAWLEY	2015	L3_SHP_M129_HAWLEY.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M129_HAWLEY.zip
