x_meters	y_meters	LOC_ID	TOWN_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_57014_898787	150	EAST ST	880	1
		M_56705_898567	150	EAST ST	846	1
		M_56711_898547	150	EAST ST	840	1
